shapeId,shapeType,shapeLabel,pointId,longitude,latitude,source
0,POINT,,0,72.97377044097402,33.68617947086318,
1,POINT,,0,72.97488623992422,33.68610805215326,
2,POLYGON,,0,72.97445708648183,33.68610805215326,
2,POLYGON,,1,72.99085074798086,33.69424940286185,
2,POLYGON,,2,73.00115043059805,33.68096574909809,
2,POLYGON,,3,72.98415595427969,33.67296599963005,
3,POLYGON,,0,72.99085074798086,33.69446363851819,
3,POLYGON,,1,73.00964766875722,33.70374667054893,
3,POLYGON,,2,73.01917487517812,33.690178823910635,
3,POLYGON,,3,73.00106459990957,33.68089432605652,
4,POLYGON,,0,73.00964766875722,33.703889478591826,
4,POLYGON,,1,73.02655631438711,33.71281451012181,
4,POLYGON,,2,73.03702765838125,33.69917668782145,
4,POLYGON,,3,73.01917487517812,33.690178823910635,
5,POINT,,0,72.98608714477041,33.68210850969336,
6,POINT,,0,72.9813664569042,33.68285843807886,
7,POINT,,0,72.98999244109609,33.68896475426444,
8,POINT,,0,72.99625808135488,33.68207279865467,
9,POINT,,0,72.99188071624258,33.68257275184624,
10,POINT,,0,72.98861915008047,33.67871589478616,
11,POINT,,0,72.9961722506664,33.69392804837588,
12,POINT,,0,72.9998629702709,33.69042877729711,
13,POINT,,0,73.003124536433,33.687215035488705,
14,POINT,,0,73.01067763701894,33.694070872740234,
15,POINT,,0,73.00406867400625,33.6961417993468,
16,POINT,,0,73.01316672698476,33.691285754817436,
17,POINT,,0,73.01668519994327,33.70299706422215,
18,POINT,,0,73.02235002538272,33.70542478984785,
19,POINT,,0,73.02235002538272,33.69528501005879,
20,POINT,,0,73.00793046971866,33.692571344885515,
21,POINT,,0,72.98166627904483,33.67928743176699,
22,POLYGON,,0,72.96179856792571,33.701093523111794,
22,POLYGON,,1,72.96351518169524,33.70116492936827,
23,POLYGON,,0,72.97973718181731,33.71030444016121,
24,POLYGON,,0,72.97415818706634,33.68631115036615,
24,POLYGON,,1,72.96265687481048,33.70116492936824,
24,POLYGON,,2,72.97965135112884,33.71023304150237,
24,POLYGON,,3,72.99080934063079,33.69459530532894,
25,POLYGON,,0,72.9778701349213,33.64855601934796,
25,POLYGON,,1,72.9888564630463,33.63383607648257,
25,POLYGON,,2,73.00550761661076,33.64133927442497,
25,POLYGON,,3,72.99452128848576,33.656343708857946,
26,POLYGON,,0,72.97769847354435,33.64862746924342,
26,POLYGON,,1,72.96379390201115,33.64141073031016,
27,POLYGON,,0,72.96388771704581,33.64148550970138,
27,POLYGON,,1,72.97006752661612,33.62562086236497,
27,POLYGON,,2,72.98877861670401,33.63376793817506,
27,POLYGON,,3,72.97762062720206,33.64863079253293,
28,POLYGON,,0,72.99440796453698,33.65655733307478,
28,POLYGON,,1,73.01363403875573,33.66684455081325,
28,POLYGON,,2,73.0247061975692,33.65069878446789,
28,POLYGON,,3,73.00548012335045,33.641410024288874,
29,POLYGON,,0,73.01354820806725,33.66705885476935,
29,POLYGON,,1,73.02968437750084,33.674987725793585,
29,POLYGON,,2,73.04144318182213,33.65941501693902,
29,POLYGON,,3,73.02479202825768,33.65069878446789,
30,POLYGON,,0,72.98406477015475,33.673247478084626,
30,POLYGON,,1,72.9955660824106,33.657174356212984,
30,POLYGON,,2,73.01367635767916,33.66710432829359,
30,POLYGON,,3,73.00234670680025,33.681961426180266,
31,POLYGON,,0,73.00275201381768,33.68181214578172,
31,POLYGON,,1,73.01378125728692,33.66713360853971,
31,POLYGON,,2,73.02987451137628,33.67513390055872,
31,POLYGON,,3,73.02043313564386,33.687311487647705,
32,POLYGON,,0,73.00368080388839,33.682108003420936,
32,POLYGON,,1,73.01844368230635,33.68992836357084,
32,POLYGON,,2,73.02994499456221,33.67500121444684,
32,POLYGON,,3,73.01355133306319,33.66692947544383,
33,POLYGON,,0,73.01861534368331,33.68992836357084,
33,POLYGON,,1,73.03689728032882,33.69906906976308,
33,POLYGON,,2,73.04805526983077,33.68435776896494,
33,POLYGON,,3,73.02985916387374,33.674929786450555,
34,POLYGON,,0,73.02993637920346,33.67493271592538,
34,POLYGON,,1,73.0481324851605,33.68436069811853,
34,POLYGON,,2,73.06014878154721,33.66907541853746,
34,POLYGON,,3,73.04135186077085,33.65935999711094,
35,POLYGON,,0,73.04778916240659,33.68493205775076,
35,POLYGON,,1,73.06521279216733,33.69385905873134,
35,POLYGON,,2,73.07722908855405,33.67828976749814,
35,POLYGON,,3,73.06006295085874,33.66900398561943,
36,POLYGON,,0,73.06562573663483,33.693954204164996,
36,POLYGON,,1,73.1027045940567,33.71351892442667,
36,POLYGON,,2,73.11231763116608,33.69652500562026,
36,POLYGON,,3,73.1133475994278,33.69295442727207,
36,POLYGON,,4,73.11643750421295,33.69181181086578,
36,POLYGON,,5,73.11008603326569,33.688955203384644,
36,POLYGON,,6,73.10613782159577,33.68524147171328,
36,POLYGON,,7,73.10115964166413,33.6813847343804,
36,POLYGON,,8,73.09566647760163,33.67824207973665,
36,POLYGON,,9,73.09343487970123,33.67367074065623,
36,POLYGON,,10,73.08759839288483,33.66552744097794,
37,POLYGON,,0,73.03674108183056,33.69987953812438,
37,POLYGON,,1,73.05425054227977,33.709161984957845,
37,POLYGON,,2,73.06540853178173,33.694238176601374,
37,POLYGON,,3,73.0475557485786,33.68466843798304,
38,POLYGON,,0,73.05425054227977,33.7093047839971,
38,POLYGON,,1,73.07184583341747,33.718657603932115,
38,POLYGON,,2,73.08351880705028,33.70359263723038,
38,POLYGON,,3,73.06532270109325,33.6940953525151,
39,POLYGON,,0,73.07184583341747,33.7188003871806,
39,POLYGON,,1,73.08849698698192,33.72708140926273,
39,POLYGON,,2,73.0999124685493,33.711803728747945,
39,POLYGON,,3,73.08351880705028,33.703449828694,
40,POLYGON,,0,73.08888759364638,33.72728885388658,
40,POLYGON,,1,73.09274997462782,33.72900206491208,
40,POLYGON,,2,73.09635486354384,33.72800269597017,
40,POLYGON,,3,73.10588206996474,33.71579517905348,
40,POLYGON,,4,73.09995975245985,33.71215400459385,
41,POLYGON,,0,73.1225730099105,33.71870878822292,
41,POLYGON,,1,73.1225730099105,33.71663840566868,
41,POLYGON,,2,73.12188636440268,33.71581737807222,
41,POLYGON,,3,73.1211138882064,33.71363983207575,
41,POLYGON,,4,73.12115680355063,33.71299726696748,
41,POLYGON,,5,73.12205802577964,33.71274737923793,
41,POLYGON,,6,73.12270175594321,33.71206910887777,
41,POLYGON,,7,73.12295924800864,33.711140940755854,
41,POLYGON,,8,73.12373172420493,33.7115336284933,
41,POLYGON,,9,73.12386047023764,33.712247601597234,
